dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1900-02-01,0.969,0.585,Berlin,Germany,52.24N,13.14E
1900-03-01,1.313,0.328,Berlin,Germany,52.24N,13.14E
1900-04-01,7.246,0.317,Berlin,Germany,52.24N,13.14E
1900-05-01,12.125,0.24,Berlin,Germany,52.24N,13.14E
1900-06-01,17.362,0.343,Berlin,Germany,52.24N,13.14E
1900-07-01,19.888,0.533,Berlin,Germany,52.24N,13.14E
1900-08-01,18.19,0.336,Berlin,Germany,52.24N,13.14E
1900-09-01,14.83,0.437,Berlin,Germany,52.24N,13.14E
1900-10-01,9.613,0.459,Berlin,Germany,52.24N,13.14E
1900-11-01,5.236,0.438,Berlin,Germany,52.24N,13.14E
1900-12-01,2.863,0.493,Berlin,Germany,52.24N,13.14E
1901-01-01,-4.087,0.422,Berlin,Germany,52.24N,13.14E
1901-02-01,-3.598,0.951,Berlin,Germany,52.24N,13.14E
1901-03-01,2.945,0.354,Berlin,Germany,52.24N,13.14E
1901-04-01,8.711,0.471,Berlin,Germany,52.24N,13.14E
1901-05-01,14.182,0.38,Berlin,Germany,52.24N,13.14E
1901-06-01,16.861,0.579,Berlin,Germany,52.24N,13.14E
1901-07-01,20.316,0.411,Berlin,Germany,52.24N,13.14E
1901-08-01,18.203,0.375,Berlin,Germany,52.24N,13.14E
1901-09-01,14.213,0.459,Berlin,Germany,52.24N,13.14E
1901-10-01,10.645,0.339,Berlin,Germany,52.24N,13.14E
1901-11-01,3.535,0.398,Berlin,Germany,52.24N,13.14E
1901-12-01,1.051,0.297,Berlin,Germany,52.24N,13.14E
1902-01-01,3.368,0.563,Berlin,Germany,52.24N,13.14E
1902-02-01,-1.239,0.302,Berlin,Germany,52.24N,13.14E
1902-03-01,3.821,0.304,Berlin,Germany,52.24N,13.14E
1902-04-01,7.361,0.332,Berlin,Germany,52.24N,13.14E
1902-05-01,10.059,0.371,Berlin,Germany,52.24N,13.14E
1902-06-01,16.68,0.504,Berlin,Germany,52.24N,13.14E
1902-07-01,16.652,0.415,Berlin,Germany,52.24N,13.14E
1902-08-01,15.684,0.291,Berlin,Germany,52.24N,13.14E
1902-09-01,12.972,0.257,Berlin,Germany,52.24N,13.14E
1902-10-01,7.41,0.332,Berlin,Germany,52.24N,13.14E
1902-11-01,1.408,0.316,Berlin,Germany,52.24N,13.14E
1902-12-01,-2.565,0.663,Berlin,Germany,52.24N,13.14E
1903-01-01,0.379,0.714,Berlin,Germany,52.24N,13.14E
1903-02-01,4.104,0.56,Berlin,Germany,52.24N,13.14E
